profile,pair_id,controller,n_samples,rmse_full,rmse_deadzone,rmse_transient,ss_error_last500ms,rms_pwm,max_abs_pwm,saturated_frac
P2,6,CASC,5301,6.347538838908406,8.693070735306076,6.902743605327786,3.6519607843137254,169.36500635120612,215.0,0.0
P2,7,BASE,5301,5.227448709943647,6.8649528608972155,5.615196221090566,3.651960784313725,167.37037910889737,224.0,0.0
P2,7,CASC,5300,6.509140067251153,8.961897954942742,7.082994854438865,2.9137254901960783,167.48151179295232,214.0,0.0
P3,0,BASE,1000,18.16020268884684,21.117617691090075,17.104216188497084,-0.0982352941176466,165.39369697784738,195.0,0.0
P3,0,CASC,1000,13.008213970411157,14.676693860646129,12.004710289643668,-0.0980392156862734,172.18796125165082,227.0,0.0
P3,1,BASE,1001,18.337461373112408,21.542439002887914,17.484471541633177,0.049607843137255206,164.9064003582665,195.0,0.0
P3,1,CASC,1000,13.411674339917443,15.527811618024602,12.745966134640828,0.048823529411764606,170.653441219332,226.0,0.0
P3,2,BASE,1001,18.44688066026086,21.838739565148728,17.7193492848399,-0.39196078431372594,165.89196140001135,196.0,0.0
P3,2,CASC,1001,13.067197853413706,15.249489394444565,12.437368381797214,-0.049019607843138094,172.12751702700564,223.0,0.0
P3,3,BASE,1001,18.343894388560496,21.212580541007327,17.1663353205241,-0.09823529411764688,165.283666191461,198.0,0.0
P3,3,CASC,1000,12.651407850512133,14.256042474701681,11.757582007765826,0.09784313725490242,171.66344398269538,221.0,0.0
P3,4,BASE,1001,18.252360973826953,21.54821151803945,17.429277271660602,0.0005882352941193412,165.59631294548458,195.0,0.0
P3,4,CASC,1001,13.407378103581161,15.46384635971142,12.696925100748922,-0.09803921568627395,171.12954647962366,227.0,0.0
P3,5,BASE,1000,18.46889536491016,21.756670685439023,17.648663094354657,0.0001960784313723707,165.89553640770447,198.0,0.0
P3,5,CASC,1001,13.311158389198802,15.061263222061978,12.36134155867641,0.19627450980392167,171.7777413042575,230.0,0.0
