session,region,direction,cond,pwm,run,rmse_A,fit_A,rmse_tr_A,rmse_B,fit_B,rmse_tr_B,rmse_C,fit_C,rmse_tr_C
P2.1,decel,rev,240->0,0,3,13.818722946068203,64.813333381679,31.6972365525714,8.820556838105844,77.54018268824983,20.214896684683413,5.3097144098989615,86.47985407126436,12.159116097239238
P2.1,decel,rev,240->160,160,1,37.708211470124304,-50.10690225297307,30.794470886706886,6.578232604108837,73.8137111253707,11.515323980596579,2.6138915119085158,89.59475556169532,3.757106974051446
P2.1,decel,rev,240->160,160,2,36.67717218905926,-44.983484764249205,29.92756202147581,7.075367963259464,72.03133605789046,12.507251302826203,1.942917006539066,92.31972201227157,2.4503644562417706
P2.1,decel,rev,240->160,160,3,35.95899757231594,-43.087343836534764,28.98464119516699,7.482800855098253,70.22458435721066,13.198971948861063,2.1412398496301197,91.47962003155523,2.7074753206445257
gap-fill,decel,fwd,240->100,100,1,69.09479108834803,-65.32391762820751,55.805499664917576,17.53460712400545,58.044739724223305,28.350519150602672,4.313063865462047,89.68008146508322,4.646616557966134
gap-fill,decel,fwd,240->100,100,2,71.00202785831227,-68.38812906874843,56.41596089140381,16.602849296021823,60.6247481304831,27.353599627797934,2.8714102994716675,93.19017466541044,4.412900240229803
gap-fill,decel,fwd,240->100,100,3,70.04548748086718,-67.71502401574409,56.08309487864836,16.680014765722937,60.061823000656275,27.266752503052537,3.4234375244296547,91.8030136233551,4.681498882325218
gap-fill,decel,fwd,240->180,180,1,42.06480464996045,-88.44326177090348,33.940191316094506,8.619468883924151,61.38622668675574,13.411820062056558,3.9752251950036963,82.19165860262525,4.097206647155978
gap-fill,decel,fwd,240->180,180,2,43.1857484141247,-94.71698029076055,34.58128895162231,8.15315640444648,63.23884491503098,12.684140106469863,3.8145700073897,82.80077154564971,3.9947262206256453
gap-fill,decel,fwd,240->180,180,3,43.30296610303474,-88.45092410970754,34.293370623587684,8.651470789438962,62.34951524339913,13.49880299129162,4.11307710809417,82.10022888246196,4.491740274577022
gap-fill,decel,fwd,240->220,220,1,7.176866852844763,7.42272706806264,12.196257018584902,6.168427391858248,20.430990580444675,8.809207832073387,5.671793984652209,26.837263321565274,5.719433164449202
gap-fill,decel,fwd,240->220,220,2,6.832025613382564,6.797984611113161,10.744062750476276,6.055357186329622,17.39324095038376,8.11553994063777,5.690004673698584,22.377354364406454,5.7953521474070655
gap-fill,decel,fwd,240->220,220,3,9.071724203654755,-19.669082168258978,14.072122697374708,6.109880184204272,19.40189787656994,7.181330220537441,6.046193604890277,20.242015402394998,6.572875619873605
gap-fill,decel,rev,240->100,100,1,69.31901386345235,-60.10907282232112,52.90351476374637,18.07826810264861,58.24385572117177,30.09402604638073,4.9571567695810606,88.55024429839764,6.732488896728268
gap-fill,decel,rev,240->100,100,2,72.58642381705049,-70.97739773280303,60.55869502541161,14.768875375596584,65.21189850151532,24.974863162321363,3.780859097172357,91.09418241545775,6.289065937314693
gap-fill,decel,rev,240->100,100,3,72.39943052598653,-65.39944783389447,59.89546842322628,16.260315251419197,62.85264753257338,27.498698513487007,3.568142023142073,91.84843421926112,5.917747259870107
gap-fill,decel,rev,240->180,180,1,40.49641942014964,-72.75712802440128,33.07649037584297,8.158117532216558,65.19759091960628,13.202331932268157,4.040240243597538,82.76439470435683,4.275428448595668
gap-fill,decel,rev,240->180,180,2,42.68125489795908,-75.76150052816375,33.87868553456177,8.246482448274605,66.04096733675892,13.297551001485276,4.188536181215647,82.75159889307355,4.446937586369466
gap-fill,decel,rev,240->180,180,3,41.198421833748284,-82.3092862128379,34.29056616300562,6.8227888072572815,69.80812123213201,10.733646906730232,3.9896766520666507,82.34507366341707,4.473251479779856
gap-fill,decel,rev,240->220,220,1,13.595084149510752,-72.83864260995342,19.580847232147125,6.212839933398187,21.014183580459868,8.603001644066183,5.89535520889407,25.05046818371931,6.13680231112578
gap-fill,decel,rev,240->220,220,2,11.416136394615295,-46.008846842274956,17.270076743134695,6.350653277653008,18.777112526214136,10.150086735910191,5.693148592350794,27.186393702957147,5.935817902962546
gap-fill,decel,rev,240->220,220,3,11.405233412269686,-40.295833102230105,18.17755621911612,6.29063560370004,22.618860056453983,9.22754332050185,5.662166626262611,30.349660083188766,4.692399523028173
